Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Richmond City Public Schools,John B. Cary Elementary,Chronic Absenteeism,2018 - 2019,20,272,7.35
2019,Richmond City Public Schools,John Marshall High,Chronic Absenteeism,2018 - 2019,202,605,33.39
2019,Richmond City Public Schools,Linwood Holton Elementary,Chronic Absenteeism,2018 - 2019,46,569,8.08
2019,Richmond City Public Schools,Lucille M. Brown Middle,Chronic Absenteeism,2018 - 2019,81,783,10.34
2019,Richmond City Public Schools,Martin Luther King Jr. Middle ,Chronic Absenteeism,2018 - 2019,128,624,20.51
2019,Richmond City Public Schools,Mary Munford Elementary,Chronic Absenteeism,2018 - 2019,4,504,0.79
2019,Richmond City Public Schools,Miles Jones Elementary,Chronic Absenteeism,2018 - 2019,51,638,7.99
2019,Richmond City Public Schools,Oak Grove/Bellemeade Elementary,Chronic Absenteeism,2018 - 2019,101,643,15.71
2019,Richmond City Public Schools,Open High,Chronic Absenteeism,2018 - 2019,2,195,1.03
2019,Richmond City Public Schools,Overby-Sheppard Elementary,Chronic Absenteeism,2018 - 2019,38,355,10.7
2019,Richmond City Public Schools,Patrick Henry School Of Science And Arts,Chronic Absenteeism,2018 - 2019,9,339,2.65
2019,Richmond City Public Schools,Richmond Alternative School,Chronic Absenteeism,2018 - 2019,150,1083,13.85
2019,Richmond City Public Schools,Richmond Career Education and Employment (Charter School),Chronic Absenteeism,2018 - 2019,6,39,15.38
2019,Richmond City Public Schools,Richmond Community High,Chronic Absenteeism,2018 - 2019,11,233,4.72
2019,Richmond City Public Schools,River City Middle,Chronic Absenteeism,2018 - 2019,132,816,16.18
2019,Richmond City Public Schools,Southampton Elementary,Chronic Absenteeism,2018 - 2019,32,376,8.51
2019,Richmond City Public Schools,Swansboro Elementary,Chronic Absenteeism,2018 - 2019,42,241,17.43
2019,Richmond City Public Schools,Thomas C. Boushall Middle,Chronic Absenteeism,2018 - 2019,116,752,15.43
2019,Richmond City Public Schools,Thomas Jefferson High,Chronic Absenteeism,2018 - 2019,128,745,17.18
2019,Richmond City Public Schools,Westover Hills Elementary,Chronic Absenteeism,2018 - 2019,62,411,15.09
2019,Richmond City Public Schools,William Fox Elementary,Chronic Absenteeism,2018 - 2019,13,468,2.78
2019,Richmond City Public Schools,Woodville Elementary,Chronic Absenteeism,2018 - 2019,105,414,25.36
2019,Richmond County Public Schools,Rappahannock High,Chronic Absenteeism,2018 - 2019,63,490,12.86
2019,Richmond County Public Schools,Richmond County Elementary,Chronic Absenteeism,2018 - 2019,50,770,6.49
2019,Roanoke City Public Schools,Addison Aerospace Magnet Middle,Chronic Absenteeism,2018 - 2019,134,573,23.39
2019,Roanoke City Public Schools,Breckinridge Middle,Chronic Absenteeism,2018 - 2019,98,662,14.8
2019,Roanoke City Public Schools,Crystal Spring Elementary,Chronic Absenteeism,2018 - 2019,12,351,3.42
2019,Roanoke City Public Schools,Fairview Elementary,Chronic Absenteeism,2018 - 2019,73,543,13.44
2019,Roanoke City Public Schools,Fallon Park Elementary,Chronic Absenteeism,2018 - 2019,45,575,7.83
2019,Roanoke City Public Schools,Fishburn Park Elementary,Chronic Absenteeism,2018 - 2019,18,231,7.79
2019,Roanoke City Public Schools,Garden City Elementary,Chronic Absenteeism,2018 - 2019,34,247,13.77
2019,Roanoke City Public Schools,Grandin Court Elementary,Chronic Absenteeism,2018 - 2019,12,339,3.54
2019,Roanoke City Public Schools,Highland Park Elementary,Chronic Absenteeism,2018 - 2019,39,361,10.8
2019,Roanoke City Public Schools,Hurt Park Elementary,Chronic Absenteeism,2018 - 2019,65,349,18.62
2019,Roanoke City Public Schools,James Madison Middle,Chronic Absenteeism,2018 - 2019,85,565,15.04
2019,Roanoke City Public Schools,John P. Fishwick Middle,Chronic Absenteeism,2018 - 2019,85,524,16.22
2019,Roanoke City Public Schools,Lincoln Terrace Elementary,Chronic Absenteeism,2018 - 2019,68,309,22.01
2019,Roanoke City Public Schools,Monterey Elementary,Chronic Absenteeism,2018 - 2019,40,516,7.75
2019,Roanoke City Public Schools,Morningside Elementary,Chronic Absenteeism,2018 - 2019,38,229,16.59
2019,Roanoke City Public Schools,Patrick Henry High,Chronic Absenteeism,2018 - 2019,362,1884,19.21
2019,Roanoke City Public Schools,Preston Park Elementary,Chronic Absenteeism,2018 - 2019,27,480,5.63
2019,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,Chronic Absenteeism,2018 - 2019,23,310,7.42
2019,Roanoke City Public Schools,Round Hill Elementary,Chronic Absenteeism,2018 - 2019,56,600,9.33
2019,Roanoke City Public Schools,Virginia Heights Elementary,Chronic Absenteeism,2018 - 2019,21,302,6.95
2019,Roanoke City Public Schools,Wasena Elementary,Chronic Absenteeism,2018 - 2019,13,200,6.5
2019,Roanoke City Public Schools,Westside Elementary,Chronic Absenteeism,2018 - 2019,114,680,16.76
2019,Roanoke City Public Schools,William Fleming High,Chronic Absenteeism,2018 - 2019,358,1604,22.32
2019,Roanoke City Public Schools,Woodrow Wilson Middle,Chronic Absenteeism,2018 - 2019,60,563,10.66
2019,Roanoke County Public Schools,Back Creek Elementary,Chronic Absenteeism,2018 - 2019,10,294,3.4
2019,Roanoke County Public Schools,Bonsack Elementary,Chronic Absenteeism,2018 - 2019,15,351,4.27
2019,Roanoke County Public Schools,Burlington Elementary,Chronic Absenteeism,2018 - 2019,32,425,7.53
2019,Roanoke County Public Schools,Cave Spring Elementary,Chronic Absenteeism,2018 - 2019,16,489,3.27
2019,Roanoke County Public Schools,Cave Spring High,Chronic Absenteeism,2018 - 2019,105,1010,10.4
2019,Roanoke County Public Schools,Cave Spring Middle,Chronic Absenteeism,2018 - 2019,27,758,3.56
2019,Roanoke County Public Schools,Clearbrook Elementary,Chronic Absenteeism,2018 - 2019,20,315,6.35
2019,Roanoke County Public Schools,Fort Lewis Elementary,Chronic Absenteeism,2018 - 2019,13,246,5.28
2019,Roanoke County Public Schools,Glen Cove Elementary,Chronic Absenteeism,2018 - 2019,28,454,6.17
2019,Roanoke County Public Schools,Glenvar Elementary,Chronic Absenteeism,2018 - 2019,14,356,3.93
2019,Roanoke County Public Schools,Glenvar High,Chronic Absenteeism,2018 - 2019,55,568,9.68
2019,Roanoke County Public Schools,Glenvar Middle,Chronic Absenteeism,2018 - 2019,37,455,8.13
2019,Roanoke County Public Schools,Green Valley Elementary,Chronic Absenteeism,2018 - 2019,35,521,6.72
2019,Roanoke County Public Schools,Herman L. Horn Elementary,Chronic Absenteeism,2018 - 2019,36,408,8.82
2019,Roanoke County Public Schools,Hidden Valley High,Chronic Absenteeism,2018 - 2019,46,819,5.62
2019,Roanoke County Public Schools,Hidden Valley Middle,Chronic Absenteeism,2018 - 2019,18,608,2.96
2019,Roanoke County Public Schools,Mason's Cove Elementary,Chronic Absenteeism,2018 - 2019,7,167,4.19
2019,Roanoke County Public Schools,Mount Pleasant Elementary,Chronic Absenteeism,2018 - 2019,25,312,8.01
2019,Roanoke County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,14,317,4.42
2019,Roanoke County Public Schools,Northside High,Chronic Absenteeism,2018 - 2019,99,913,10.84
2019,Roanoke County Public Schools,Northside Middle,Chronic Absenteeism,2018 - 2019,84,714,11.76
2019,Roanoke County Public Schools,Oak Grove Elementary,Chronic Absenteeism,2018 - 2019,13,404,3.22
2019,Roanoke County Public Schools,Penn Forest Elementary,Chronic Absenteeism,2018 - 2019,12,455,2.64
2019,Roanoke County Public Schools,W.E. Cundiff Elementary,Chronic Absenteeism,2018 - 2019,37,490,7.55
2019,Roanoke County Public Schools,William Byrd High,Chronic Absenteeism,2018 - 2019,107,1055,10.14
2019,Roanoke County Public Schools,William Byrd Middle,Chronic Absenteeism,2018 - 2019,91,814,11.18
2019,Rockbridge County Public Schools,Central Elementary,Chronic Absenteeism,2018 - 2019,54,508,10.63
2019,Rockbridge County Public Schools,Fairfield Elementary,Chronic Absenteeism,2018 - 2019,32,257,12.45
2019,Rockbridge County Public Schools,Maury River Middle School,Chronic Absenteeism,2018 - 2019,96,656,14.63
2019,Rockbridge County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,4,115,3.48
2019,Rockbridge County Public Schools,Natural Bridge Elementary,Chronic Absenteeism,2018 - 2019,14,241,5.81
2019,Rockbridge County Public Schools,Rockbridge County High,Chronic Absenteeism,2018 - 2019,90,983,9.16
2019,Rockingham County Public Schools,Broadway High,Chronic Absenteeism,2018 - 2019,129,991,13.02
2019,Rockingham County Public Schools,Cub Run Elementary,Chronic Absenteeism,2018 - 2019,32,627,5.1
2019,Rockingham County Public Schools,East Rockingham High,Chronic Absenteeism,2018 - 2019,99,701,14.12
2019,Rockingham County Public Schools,Elkton Elementary,Chronic Absenteeism,2018 - 2019,6,332,1.81
2019,Rockingham County Public Schools,Elkton Middle,Chronic Absenteeism,2018 - 2019,61,493,12.37
2019,Rockingham County Public Schools,Fulks Run Elementary,Chronic Absenteeism,2018 - 2019,10,145,6.9
2019,Rockingham County Public Schools,J. Frank Hillyard Middle,Chronic Absenteeism,2018 - 2019,72,702,10.26
2019,Rockingham County Public Schools,John C. Myers Elementary,Chronic Absenteeism,2018 - 2019,18,472,3.81
2019,Rockingham County Public Schools,John W. Wayland Elementary,Chronic Absenteeism,2018 - 2019,13,561,2.32
2019,Rockingham County Public Schools,Lacey Spring Elementary,Chronic Absenteeism,2018 - 2019,2,200,1
2019,Rockingham County Public Schools,Linville-Edom Elementary,Chronic Absenteeism,2018 - 2019,6,185,3.24
2019,Rockingham County Public Schools,McGaheysville Elementary,Chronic Absenteeism,2018 - 2019,12,258,4.65
2019,Rockingham County Public Schools,Montevideo Middle,Chronic Absenteeism,2018 - 2019,65,777,8.37
2019,Rockingham County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,9,424,2.12
2019,Rockingham County Public Schools,Ottobine Elementary,Chronic Absenteeism,2018 - 2019,7,168,4.17
2019,Rockingham County Public Schools,Peak View Elementary,Chronic Absenteeism,2018 - 2019,9,478,1.88
2019,Rockingham County Public Schools,Plains Elementary,Chronic Absenteeism,2018 - 2019,17,392,4.34
2019,Rockingham County Public Schools,Pleasant Valley Elementary,Chronic Absenteeism,2018 - 2019,5,193,2.59
2019,Rockingham County Public Schools,River Bend Elementary,Chronic Absenteeism,2018 - 2019,23,356,6.46
2019,Rockingham County Public Schools,South River Elementary,Chronic Absenteeism,2018 - 2019,17,301,5.65
2019,Rockingham County Public Schools,Spotswood High,Chronic Absenteeism,2018 - 2019,114,967,11.79
2019,Rockingham County Public Schools,Turner Ashby High,Chronic Absenteeism,2018 - 2019,124,990,12.53
2019,Rockingham County Public Schools,Wilbur S. Pence Middle,Chronic Absenteeism,2018 - 2019,48,725,6.62
2019,Russell County Public Schools,Belfast Elementary,Chronic Absenteeism,2018 - 2019,6,91,6.59
2019,Russell County Public Schools,Castlewood Elementary,Chronic Absenteeism,2018 - 2019,68,418,16.27
2019,Russell County Public Schools,Castlewood High,Chronic Absenteeism,2018 - 2019,62,359,17.27
2019,Russell County Public Schools,Copper Creek Elementary,Chronic Absenteeism,2018 - 2019,21,62,33.87
2019,Russell County Public Schools,Honaker Elementary,Chronic Absenteeism,2018 - 2019,73,570,12.81
2019,Russell County Public Schools,Honaker High,Chronic Absenteeism,2018 - 2019,63,437,14.42
2019,Russell County Public Schools,Lebanon Elementary,Chronic Absenteeism,2018 - 2019,39,328,11.89
2019,Russell County Public Schools,Lebanon High,Chronic Absenteeism,2018 - 2019,91,596,15.27
2019,Russell County Public Schools,Lebanon Middle,Chronic Absenteeism,2018 - 2019,35,352,9.94
2019,Russell County Public Schools,Lebanon Primary,Chronic Absenteeism,2018 - 2019,28,196,14.29
2019,Russell County Public Schools,Swords Creek Elementary,Chronic Absenteeism,2018 - 2019,10,125,8
2019,Salem City Public Schools,Andrew Lewis Middle,Chronic Absenteeism,2018 - 2019,91,937,9.71
2019,Salem City Public Schools,East Salem Elementary,Chronic Absenteeism,2018 - 2019,23,401,5.74
2019,Salem City Public Schools,G.W. Carver Elementary,Chronic Absenteeism,2018 - 2019,20,414,4.83
2019,Salem City Public Schools,Salem High,Chronic Absenteeism,2018 - 2019,161,1259,12.79
2019,Salem City Public Schools,South Salem Elementary,Chronic Absenteeism,2018 - 2019,26,422,6.16
2019,Salem City Public Schools,West Salem Elementary,Chronic Absenteeism,2018 - 2019,12,430,2.79
2019,Scott County Public Schools,Duffield-Pattonsville Primary,Chronic Absenteeism,2018 - 2019,12,269,4.46
2019,Scott County Public Schools,Dungannon Intermediate,Chronic Absenteeism,2018 - 2019,10,65,15.38
2019,Scott County Public Schools,Fort Blackmore Primary,Chronic Absenteeism,2018 - 2019,4,78,5.13
2019,Scott County Public Schools,Gate City High,Chronic Absenteeism,2018 - 2019,77,649,11.86
2019,Scott County Public Schools,Gate City Middle,Chronic Absenteeism,2018 - 2019,29,330,8.79
2019,Scott County Public Schools,Hilton Elementary,Chronic Absenteeism,2018 - 2019,5,127,3.94
2019,Scott County Public Schools,Nickelsville Elementary,Chronic Absenteeism,2018 - 2019,13,233,5.58
2019,Scott County Public Schools,Rye Cove High,Chronic Absenteeism,2018 - 2019,34,243,13.99
2019,Scott County Public Schools,Rye Cove Intermediate,Chronic Absenteeism,2018 - 2019,17,163,10.43
2019,Scott County Public Schools,Shoemaker Elementary,Chronic Absenteeism,2018 - 2019,54,524,10.31
2019,Scott County Public Schools,Twin Springs High,Chronic Absenteeism,2018 - 2019,27,220,12.27
2019,Scott County Public Schools,Weber City Elementary,Chronic Absenteeism,2018 - 2019,25,331,7.55
2019,Scott County Public Schools,Yuma Elementary,Chronic Absenteeism,2018 - 2019,7,155,4.52
2019,Shenandoah County Public Schools,Ashby Lee Elementary,Chronic Absenteeism,2018 - 2019,57,582,9.79
2019,Shenandoah County Public Schools,Central High,Chronic Absenteeism,2018 - 2019,150,740,20.27
2019,Shenandoah County Public Schools,North Fork Middle,Chronic Absenteeism,2018 - 2019,44,354,12.43
2019,Shenandoah County Public Schools,Peter Muhlenberg Middle,Chronic Absenteeism,2018 - 2019,89,562,15.84
2019,Shenandoah County Public Schools,Sandy Hook Elementary,Chronic Absenteeism,2018 - 2019,87,884,9.84
2019,Shenandoah County Public Schools,Signal Knob Middle,Chronic Absenteeism,2018 - 2019,58,425,13.65
2019,Shenandoah County Public Schools,Stonewall Jackson High,Chronic Absenteeism,2018 - 2019,115,612,18.79
2019,Shenandoah County Public Schools,Strasburg High,Chronic Absenteeism,2018 - 2019,124,611,20.29
2019,Shenandoah County Public Schools,W.W. Robinson Elementary,Chronic Absenteeism,2018 - 2019,122,1028,11.87
2019,Smyth County Public Schools,Atkins Elementary,Chronic Absenteeism,2018 - 2019,37,178,20.79
2019,Smyth County Public Schools,Chilhowie Elementary,Chronic Absenteeism,2018 - 2019,55,535,10.28
2019,Smyth County Public Schools,Chilhowie High,Chronic Absenteeism,2018 - 2019,62,410,15.12
2019,Smyth County Public Schools,Chilhowie Middle,Chronic Absenteeism,2018 - 2019,40,319,12.54
2019,Smyth County Public Schools,Marion Elementary,Chronic Absenteeism,2018 - 2019,31,303,10.23
2019,Smyth County Public Schools,Marion Middle,Chronic Absenteeism,2018 - 2019,130,536,24.25
2019,Smyth County Public Schools,Marion Senior High,Chronic Absenteeism,2018 - 2019,145,607,23.89
2019,Smyth County Public Schools,Northwood High,Chronic Absenteeism,2018 - 2019,32,278,11.51
2019,Smyth County Public Schools,Northwood Middle,Chronic Absenteeism,2018 - 2019,20,191,10.47
2019,Smyth County Public Schools,Oak Point Elementary,Chronic Absenteeism,2018 - 2019,64,387,16.54
2019,Smyth County Public Schools,Rich Valley Elementary,Chronic Absenteeism,2018 - 2019,7,139,5.04
2019,Smyth County Public Schools,Saltville Elementary,Chronic Absenteeism,2018 - 2019,28,193,14.51
2019,Smyth County Public Schools,Sugar Grove Elementary,Chronic Absenteeism,2018 - 2019,10,98,10.2
2019,Southampton County Public Schools,Capron Elementary,Chronic Absenteeism,2018 - 2019,24,185,12.97
2019,Southampton County Public Schools,Meherrin Elementary,Chronic Absenteeism,2018 - 2019,42,284,14.79
2019,Southampton County Public Schools,Nottoway Elementary,Chronic Absenteeism,2018 - 2019,21,274,7.66
2019,Southampton County Public Schools,Riverdale Elementary,Chronic Absenteeism,2018 - 2019,7,509,1.38
2019,Southampton County Public Schools,Southampton High,Chronic Absenteeism,2018 - 2019,72,826,8.72
2019,Southampton County Public Schools,Southampton Middle,Chronic Absenteeism,2018 - 2019,69,626,11.02
2019,Spotsylvania County Public Schools,Battlefield Elementary,Chronic Absenteeism,2018 - 2019,49,644,7.61
2019,Spotsylvania County Public Schools,Battlefield Middle,Chronic Absenteeism,2018 - 2019,126,832,15.14
2019,Spotsylvania County Public Schools,Berkeley Elementary,Chronic Absenteeism,2018 - 2019,36,268,13.43
2019,Spotsylvania County Public Schools,Brock Road Elementary,Chronic Absenteeism,2018 - 2019,62,649,9.55
2019,Spotsylvania County Public Schools,Cedar Forest Elementary,Chronic Absenteeism,2018 - 2019,68,666,10.21
2019,Spotsylvania County Public Schools,Chancellor Elementary,Chronic Absenteeism,2018 - 2019,35,447,7.83
2019,Spotsylvania County Public Schools,Chancellor High,Chronic Absenteeism,2018 - 2019,239,1243,19.23
2019,Spotsylvania County Public Schools,Chancellor Middle,Chronic Absenteeism,2018 - 2019,91,833,10.92
2019,Spotsylvania County Public Schools,Courthouse Road Elementary,Chronic Absenteeism,2018 - 2019,66,786,8.4
2019,Spotsylvania County Public Schools,Courtland Elementary,Chronic Absenteeism,2018 - 2019,36,488,7.38
2019,Spotsylvania County Public Schools,Courtland High,Chronic Absenteeism,2018 - 2019,198,1144,17.31
2019,Spotsylvania County Public Schools,Freedom Middle,Chronic Absenteeism,2018 - 2019,84,815,10.31
2019,Spotsylvania County Public Schools,Harrison Road Elementary,Chronic Absenteeism,2018 - 2019,51,740,6.89
2019,Spotsylvania County Public Schools,Lee Hill Elementary,Chronic Absenteeism,2018 - 2019,81,665,12.18
2019,Spotsylvania County Public Schools,Livingston Elementary,Chronic Absenteeism,2018 - 2019,41,387,10.59
2019,Spotsylvania County Public Schools,Massaponax High,Chronic Absenteeism,2018 - 2019,392,1985,19.75
2019,Spotsylvania County Public Schools,Ni River Middle,Chronic Absenteeism,2018 - 2019,78,715,10.91
2019,Spotsylvania County Public Schools,Parkside Elementary,Chronic Absenteeism,2018 - 2019,55,863,6.37
2019,Spotsylvania County Public Schools,Post Oak Middle,Chronic Absenteeism,2018 - 2019,112,682,16.42
2019,Spotsylvania County Public Schools,Riverbend High ,Chronic Absenteeism,2018 - 2019,300,1900,15.79
2019,Spotsylvania County Public Schools,Riverview Elementary,Chronic Absenteeism,2018 - 2019,57,573,9.95
2019,Spotsylvania County Public Schools,Robert E. Lee Elementary,Chronic Absenteeism,2018 - 2019,39,489,7.98
2019,Spotsylvania County Public Schools,Salem Elementary,Chronic Absenteeism,2018 - 2019,71,586,12.12
2019,Spotsylvania County Public Schools,Smith Station Elementary,Chronic Absenteeism,2018 - 2019,64,628,10.19
2019,Spotsylvania County Public Schools,Spotswood Elementary,Chronic Absenteeism,2018 - 2019,67,548,12.23
2019,Spotsylvania County Public Schools,Spotsylvania High,Chronic Absenteeism,2018 - 2019,224,1122,19.96
2019,Spotsylvania County Public Schools,Spotsylvania Middle,Chronic Absenteeism,2018 - 2019,120,931,12.89
2019,Spotsylvania County Public Schools,Thornburg Middle,Chronic Absenteeism,2018 - 2019,82,729,11.25
2019,Spotsylvania County Public Schools,Wilderness Elementary,Chronic Absenteeism,2018 - 2019,53,642,8.26
2019,Stafford County Public Schools,Andrew G. Wright Middle,Chronic Absenteeism,2018 - 2019,68,902,7.54
2019,Stafford County Public Schools,Anne E. Moncure Elementary,Chronic Absenteeism,2018 - 2019,69,825,8.36
2019,Stafford County Public Schools,Anthony Burns Elementary,Chronic Absenteeism,2018 - 2019,82,824,9.95
2019,Stafford County Public Schools,Brooke Point High,Chronic Absenteeism,2018 - 2019,289,1867,15.48
2019,Stafford County Public Schools,Colonial Forge High,Chronic Absenteeism,2018 - 2019,236,2059,11.46
2019,Stafford County Public Schools,Conway Elementary,Chronic Absenteeism,2018 - 2019,43,789,5.45
2019,Stafford County Public Schools,Donald B. Dixon-Lyle R. Smith Middle,Chronic Absenteeism,2018 - 2019,72,777,9.27
2019,Stafford County Public Schools,Edward E. Drew Jr. Middle,Chronic Absenteeism,2018 - 2019,63,600,10.5
2019,Stafford County Public Schools,Falmouth Elementary,Chronic Absenteeism,2018 - 2019,68,630,10.79
2019,Stafford County Public Schools,Ferry Farm Elementary,Chronic Absenteeism,2018 - 2019,57,620,9.19
2019,Stafford County Public Schools,Garrisonville Elementary,Chronic Absenteeism,2018 - 2019,31,553,5.61
2019,Stafford County Public Schools,Grafton Village Elementary,Chronic Absenteeism,2018 - 2019,56,663,8.45
2019,Stafford County Public Schools,H.H. Poole Middle,Chronic Absenteeism,2018 - 2019,75,801,9.36
2019,Stafford County Public Schools,Hampton Oaks Elementary,Chronic Absenteeism,2018 - 2019,76,744,10.22
2019,Stafford County Public Schools,Hartwood Elementary,Chronic Absenteeism,2018 - 2019,58,538,10.78
2019,Stafford County Public Schools,Kate Waller Barrett Elementary,Chronic Absenteeism,2018 - 2019,46,800,5.75
2019,Stafford County Public Schools,Margaret Brent Elementary ,Chronic Absenteeism,2018 - 2019,60,887,6.76
2019,Stafford County Public Schools,Mountain View High ,Chronic Absenteeism,2018 - 2019,167,1794,9.31
2019,Stafford County Public Schools,North Stafford High,Chronic Absenteeism,2018 - 2019,247,1682,14.68
2019,Stafford County Public Schools,Park Ridge Elementary,Chronic Absenteeism,2018 - 2019,71,719,9.87
2019,Stafford County Public Schools,Rockhill Elementary,Chronic Absenteeism,2018 - 2019,44,591,7.45
2019,Stafford County Public Schools,Rocky Run Elementary,Chronic Absenteeism,2018 - 2019,75,887,8.46
2019,Stafford County Public Schools,Rodney E. Thompson Middle,Chronic Absenteeism,2018 - 2019,69,1018,6.78
2019,Stafford County Public Schools,Shirley C. Heim Middle,Chronic Absenteeism,2018 - 2019,79,980,8.06
2019,Stafford County Public Schools,Stafford Elementary,Chronic Absenteeism,2018 - 2019,74,771,9.6
2019,Stafford County Public Schools,Stafford Middle,Chronic Absenteeism,2018 - 2019,130,928,14.01
2019,Stafford County Public Schools,Stafford Senior High,Chronic Absenteeism,2018 - 2019,332,1933,17.18
2019,Stafford County Public Schools,T. Benton Gayle Middle,Chronic Absenteeism,2018 - 2019,104,926,11.23
2019,Stafford County Public Schools,Widewater Elementary,Chronic Absenteeism,2018 - 2019,78,768,10.16
2019,Stafford County Public Schools,Winding Creek Elementary,Chronic Absenteeism,2018 - 2019,58,984,5.89
2019,Staunton City Public Schools,Arthur R. Ware Elementary,Chronic Absenteeism,2018 - 2019,38,421,9.03
2019,Staunton City Public Schools,Bessie Weller Elementary,Chronic Absenteeism,2018 - 2019,44,369,11.92
2019,Staunton City Public Schools,Shelburne Middle,Chronic Absenteeism,2018 - 2019,68,625,10.88
2019,Staunton City Public Schools,Staunton High,Chronic Absenteeism,2018 - 2019,135,757,17.83
2019,Staunton City Public Schools,Thomas C. McSwain Elementary,Chronic Absenteeism,2018 - 2019,36,449,8.02
2019,Suffolk City Public Schools,Booker T. Washington Elementary,Chronic Absenteeism,2018 - 2019,44,327,13.46
2019,Suffolk City Public Schools,Colonel Fred Cherry Middle School,Chronic Absenteeism,2018 - 2019,46,746,6.17
2019,Suffolk City Public Schools,Creekside Elementary,Chronic Absenteeism,2018 - 2019,49,716,6.84
2019,Suffolk City Public Schools,Elephant's Fork Elementary,Chronic Absenteeism,2018 - 2019,66,510,12.94
2019,Suffolk City Public Schools,Florence Bowser Elementary,Chronic Absenteeism,2018 - 2019,55,728,7.55
2019,Suffolk City Public Schools,Forest Glen Middle,Chronic Absenteeism,2018 - 2019,68,451,15.08
2019,Suffolk City Public Schools,Hillpoint Elementary,Chronic Absenteeism,2018 - 2019,83,744,11.16
2019,Suffolk City Public Schools,John F. Kennedy Middle,Chronic Absenteeism,2018 - 2019,80,548,14.6
2019,Suffolk City Public Schools,John Yeates Middle,Chronic Absenteeism,2018 - 2019,44,513,8.58
2019,Suffolk City Public Schools,Kilby Shores Elementary,Chronic Absenteeism,2018 - 2019,65,477,13.63
2019,Suffolk City Public Schools,King's Fork High,Chronic Absenteeism,2018 - 2019,106,1463,7.25
2019,Suffolk City Public Schools,King's Fork Middle,Chronic Absenteeism,2018 - 2019,151,989,15.27
2019,Suffolk City Public Schools,Lakeland High,Chronic Absenteeism,2018 - 2019,81,1044,7.76
2019,Suffolk City Public Schools,Mack Benn Jr. Elementary,Chronic Absenteeism,2018 - 2019,88,590,14.92
2019,Suffolk City Public Schools,Nansemond Parkway Elementary,Chronic Absenteeism,2018 - 2019,38,453,8.39
2019,Suffolk City Public Schools,Nansemond River High,Chronic Absenteeism,2018 - 2019,68,1583,4.3
2019,Suffolk City Public Schools,Northern Shores Elementary,Chronic Absenteeism,2018 - 2019,48,802,5.99
2019,Suffolk City Public Schools,Oakland Elementary,Chronic Absenteeism,2018 - 2019,32,429,7.46
2019,Suffolk City Public Schools,Pioneer Elementary,Chronic Absenteeism,2018 - 2019,79,599,13.19
2019,Surry County Public Schools,Luther P. Jackson Middle,Chronic Absenteeism,2018 - 2019,20,225,8.89
2019,Surry County Public Schools,Surry County High,Chronic Absenteeism,2018 - 2019,29,233,12.45
2019,Surry County Public Schools,Surry Elementary,Chronic Absenteeism,2018 - 2019,21,271,7.75
2019,Sussex County Public Schools,Sussex Central Elementary,Chronic Absenteeism,2018 - 2019,74,473,15.64
2019,Sussex County Public Schools,Sussex Central High,Chronic Absenteeism,2018 - 2019,86,306,28.1
2019,Sussex County Public Schools,Sussex Central Middle,Chronic Absenteeism,2018 - 2019,41,242,16.94
2019,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary,Chronic Absenteeism,2018 - 2019,35,153,22.88
2019,Tazewell County Public Schools,Cedar Bluff Elementary,Chronic Absenteeism,2018 - 2019,50,385,12.99
2019,Tazewell County Public Schools,Dudley Primary,Chronic Absenteeism,2018 - 2019,61,266,22.93
2019,Tazewell County Public Schools,Graham High,Chronic Absenteeism,2018 - 2019,165,486,33.95
2019,Tazewell County Public Schools,Graham Intermediate,Chronic Absenteeism,2018 - 2019,39,308,12.66
2019,Tazewell County Public Schools,Graham Middle,Chronic Absenteeism,2018 - 2019,61,389,15.68
2019,Tazewell County Public Schools,Richlands Elementary,Chronic Absenteeism,2018 - 2019,153,608,25.16
2019,Tazewell County Public Schools,Richlands High,Chronic Absenteeism,2018 - 2019,286,679,42.12
2019,Tazewell County Public Schools,Richlands Middle,Chronic Absenteeism,2018 - 2019,110,527,20.87
2019,Tazewell County Public Schools,Tazewell High,Chronic Absenteeism,2018 - 2019,41,477,8.6
2019,Tazewell County Public Schools,Tazewell Intermediate,Chronic Absenteeism,2018 - 2019,58,241,24.07
2019,Tazewell County Public Schools,Tazewell Middle,Chronic Absenteeism,2018 - 2019,59,401,14.71
2019,Tazewell County Public Schools,Tazewell Primary,Chronic Absenteeism,2018 - 2019,62,410,15.12
2019,Virginia Beach City Public Schools,Alanton Elementary,Chronic Absenteeism,2018 - 2019,47,636,7.39
2019,Virginia Beach City Public Schools,Arrowhead Elementary,Chronic Absenteeism,2018 - 2019,32,460,6.96
2019,Virginia Beach City Public Schools,Bayside 6th Grade Campus,Chronic Absenteeism,2018 - 2019,52,398,13.07
2019,Virginia Beach City Public Schools,Bayside Elementary,Chronic Absenteeism,2018 - 2019,55,489,11.25
